时间,平台,子品类,tb_item_id,alias_all_bid,品牌名,系列,名称,链接,图片,销量,销售额,片单价,价位段
2023Q4,jd,拉拉裤,100024157732,48751,Huggies/好奇,柯基裤/软萌星人,好奇（Huggies）软萌星人柯基裤成长裤XL28片(12-17kg)加大号婴儿尿不湿超薄透气,https://item.jd.com/100024157732.html,http://img11.360buyimg.com/n1/jfs/t1/225096/40/10866/71695/6592c051Fe9047ed4/9aa19cda5cacade0.jpg,172349,12096225.85,2.15,2-2.5元
2023Q4,tmall,拉拉裤,718146159349,13067,BBC,Air Pro,加量不加价babycare婴儿拉拉裤短裤式Airpro尿不湿量贩箱装2包,https://detail.tmall.com/item.htm?id=718146159349,//img.alicdn.com/imgextra/i4/6000000005912/O1CN01N00DWX1tXkS2shToe_!!6000000005912-0-sm.jpg,54151,12008407.63,2.08,2-2.5元
2023Q4,jd,纸尿裤,4483022,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤L120片(9-14kg)大号婴儿尿不湿小桃裤裸感超薄透气,https://item.jd.com/4483022.html,http://img11.360buyimg.com/n1/jfs/t1/223916/20/31366/77266/653241abF8706aba7/d9117ecfbfd8463b.jpg,78120,11711900.50,1.34,1-2元
2023Q4,jd,拉拉裤,7202389,274044,帮宝适,绿帮（超薄干爽）,帮宝适绿帮拉拉裤XL136(12-17kg)尿不湿尿裤成长裤超薄透气,https://item.jd.com/7202389.html,http://img11.360buyimg.com/n1/jfs/t1/226986/5/10695/159894/65916152F55d0a708/ebe4594c19dc6a35.jpg,66788,11616635.44,1.27,1-2元
2023Q4,jd,纸尿裤,1271289,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤NB84片(5kg以下)新生儿小号婴儿尿不湿小桃裤超薄,https://item.jd.com/1271289.html,http://img11.360buyimg.com/n1/jfs/t1/241146/7/248/72354/658293efF96900af3/0ac1a2d6ade78b2e.jpg,182186,11167421.83,1.34,1-2元
2023Q4,tmall,纸尿裤,669810179581,48663,BEABA,大鱼海棠,【加量装】碧芭宝贝大鱼海棠尿裤L46/XL44/2XL42/3XL38训练裤,https://detail.tmall.com/item.htm?id=669810179581,//img.alicdn.com/imgextra/i1/6000000006109/O1CN01bphZ1I1uzyTkUm2WZ_!!6000000006109-0-sm.jpg,66436,11145704.53,2.12,2-2.5元
2023Q4,tmall,拉拉裤,582453985524,48751,Huggies/好奇,小森林,好奇小森林心钻装拉拉裤L40/XL32/XXL30/XXXL28超薄透气,https://detail.tmall.com/item.htm?id=582453985524,//img.alicdn.com/imgextra/i3/725677994/O1CN010VC57F28vJ3mB8i6c_!!0-item_pic.jpg,65436,11123462.32,2.70,2.5-3.5元
2023Q4,tmall,拉拉裤,570269017905,274044,帮宝适,一级帮,帮宝适一级帮散热拉拉裤L/L+/XL/XXL/XXXL超薄透气裤型纸尿裤,https://detail.tmall.com/item.htm?id=570269017905,//img.alicdn.com/imgextra/i1/725677994/O1CN014atpLY28vJ3ZyMZFS_!!0-item_pic.jpg,72693,10917561.84,1.80,1-2元
2023Q4,jd,纸尿裤,100014427017,274044,帮宝适,清新帮,帮宝适清新帮纸尿裤M54片(6-11kg)尿裤尿不湿 超薄透气 干爽,https://item.jd.com/100014427017.html,http://img11.360buyimg.com/n1/jfs/t1/230720/25/11485/147888/65951dc5F535b2989/776d89d99389eaeb.jpg,146104,10910833.44,1.44,1-2元
2023Q4,jd,纸尿裤,100000717691,13067,BBC,皇室,babycare皇室狮子王国弱酸纸尿裤NB68片(&lt;5kg)新生儿小号尿不湿弱酸亲肤,https://item.jd.com/100000717691.html,http://img11.360buyimg.com/n1/jfs/t1/247650/34/1775/96876/65953f05F01268dda/a759f5fba312bf38.jpg,121111,10888031.02,2.45,2-2.5元
2023Q4,tmall,拉拉裤,603730677697,347275,Dress/吉氏,倾柔系列,吉氏倾柔拉拉裤弱酸超薄纸尿裤男女婴儿透气尿不湿SMLXL2XL3XL,https://detail.tmall.com/item.htm?id=603730677697,//img.alicdn.com/imgextra/i2/899591670/O1CN01Kg5bOJ1OCuKkKR0B0_!!899591670.jpg,112219,10735723.46,1.57,1-2元
2023Q4,dy,纸尿裤,'3518507360849140648,1115649,艾叶草,艾心果,艾叶草艾心果婴儿纸尿裤弱酸超薄透气拉拉裤新生儿尿不湿纸尿裤,https://haohuo.jinritemai.com/views/product/detail?id=3518507360849140648,https://lf6-cm.ecombdstatic.com/obj/ecom-shop-material/rBFhrqPW_m_18be74cff8f6c14a7963bc5cefabf10f_sx_550177_www800-800,271077,10672169.38,0.96,1元以下
2023Q4,jd,纸尿裤,100026779846,274044,帮宝适,清新帮,帮宝适清新帮纸尿裤L46片(9-14kg)尿裤尿不湿 超薄透气 干爽,https://item.jd.com/100026779846.html,http://img11.360buyimg.com/n1/jfs/t1/242825/14/1926/147386/65951ea0F30e016a0/ed702903b83d8bc8.jpg,140765,10619771.51,1.44,1-2元
2023Q4,tmall,纸尿裤,684841010120,48751,Huggies/好奇,小桃裤/铂金装,【百亿补贴】好奇铂金装婴儿纸尿裤XL80超薄透气尿不湿小桃裤,https://detail.tmall.com/item.htm?id=684841010120,//img.alicdn.com/imgextra/i2/685092642/O1CN016iQxtu1VO5Er3JgRN_!!0-item_pic.jpg,42591,10437121.12,1.34,1-2元
2023Q4,jd,纸尿裤,100019424326,13067,BBC,木法沙,babycare皇室木法沙的王国纸尿裤大号尿不湿新升级箱装XL码62片(12-17kg),https://item.jd.com/100019424326.html,http://img11.360buyimg.com/n1/jfs/t1/246923/5/1898/97482/65958aeeFfe7594b5/dfb0c3f178458441.jpg,54053,10331313.18,2.64,2.5-3.5元
2023Q4,tmall,纸尿裤,679554108670,274044,帮宝适,一级帮,帮宝适一级帮纸尿裤M92/L72/XL64男女宝宝尿不湿透气尿裤拍1得2包,https://detail.tmall.com/item.htm?id=679554108670,//img.alicdn.com/imgextra/i3/749385259/O1CN01ZXNXhg1oifocRQS1t_!!0-item_pic.jpg,65941,10254477.48,1.80,1-2元
2023Q4,jd,纸尿裤,100000827286,13067,BBC,皇室,babycare皇室狮子王国弱酸纸尿裤S58片(4-8kg)新生儿小号尿不湿弱酸亲肤,https://item.jd.com/100000827286.html,http://img11.360buyimg.com/n1/jfs/t1/228649/34/11514/95949/659608e0F7406809b/c7a4ffec9c9a2275.jpg,109670,10015692.46,2.45,2-2.5元
2023Q4,tmall,拉拉裤,583319461272,48751,Huggies/好奇,小森林,【透气新升级】好奇小森林心钻装日夜用拉拉裤L/XL/XXL尿不湿透气,https://detail.tmall.com/item.htm?id=583319461272,//img.alicdn.com/imgextra/i1/685092642/O1CN01uWIKcB1VO5JiNhoWm_!!685092642.jpg,74305,9991649.24,2.70,2.5-3.5元
2023Q4,jd,纸尿裤,100006768650,274044,帮宝适,清新帮,帮宝适清新帮纸尿裤NB76片(≤5kg)尿裤尿不湿新生儿 婴儿超薄透气干爽,https://item.jd.com/100006768650.html,http://img11.360buyimg.com/n1/jfs/t1/244469/40/1677/150166/65951d66Feb57db31/189c62e29324780e.jpg,145858,9977748.78,1.44,1-2元
2023Q4,jd,拉拉裤,7080304,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装成长裤L120片(9-14kg)大号婴儿尿不湿小桃裤超薄拉拉裤透气,https://item.jd.com/7080304.html,http://img11.360buyimg.com/n1/jfs/t1/235260/6/11186/110775/6592be5bFa914e665/c51775fb69c0387c.jpg,65653,9873203.40,1.34,1-2元
2023Q4,jd,纸尿裤,100002728017,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤XL96片(12-17kg)加大号婴儿尿不湿小桃裤裸感超薄透,https://item.jd.com/100002728017.html,http://img11.360buyimg.com/n1/jfs/t1/234924/7/4662/100409/65637456F81cd4558/0e6161712b9d5fc5.jpg,71953,9760321.93,1.34,1-2元
2023Q4,jd,拉拉裤,100055866553,13067,BBC,木法沙,babycare皇室木法沙的王国拉拉裤尿不湿成长裤新升级XXL28片(≥15kg),https://item.jd.com/100055866553.html,http://img11.360buyimg.com/n1/jfs/t1/247666/22/1211/90215/658ea9feFce822557/b293c150cdc3f58f.jpg,102799,9700708.20,2.64,2.5-3.5元
2023Q4,jd,纸尿裤,100010688959,13067,BBC,木法沙,babycare皇室木法沙的王国纸尿裤尿不湿新升级超薄箱装L码70片(9-14kg),https://item.jd.com/100010688959.html,http://img11.360buyimg.com/n1/jfs/t1/119554/5/38609/97948/65958b28Fb2ff5102/4abf045d75f6a06c.jpg,49996,9677440.40,2.64,2.5-3.5元
2023Q4,jd,拉拉裤,100022577271,48751,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装成长裤XXXL26片*4包(17kg以上),https://item.jd.com/100022577271.html,http://img11.360buyimg.com/n1/jfs/t1/225672/12/9186/92343/658293f0Fed2a1165/a9713fa074d77319.jpg,42977,9589299.69,1.34,1-2元
2023Q4,tmall,纸尿裤,597960312505,274044,帮宝适,清新帮,帮宝适超薄干爽清新帮新生婴儿初生纸尿裤NB76/S64男女宝宝尿不湿,https://detail.tmall.com/item.htm?id=597960312505,//img.alicdn.com/imgextra/i1/749385259/O1CN01KxPb8N1oifods3btt_!!0-item_pic.jpg,124138,9519932.52,1.44,1-2元
2023Q4,tmall,纸尿裤,625433505452,48751,Huggies/好奇,小桃裤/铂金装,【臻选】好奇铂金装婴儿纸尿裤M120超薄透气尿不湿小桃裤,https://detail.tmall.com/item.htm?id=625433505452,//img.alicdn.com/imgextra/i2/685092642/O1CN018JlwOB1VO5GKqNbr2_!!2-item_pic.png,41121,9409042.22,1.34,1-2元
2023Q4,jd,拉拉裤,100047592234,67252,大王,光羽,大王（GOO.N）光羽奢定款 自在之息短裤型尿不湿 XXL20片(≥15kg) 老光羽芯体,https://item.jd.com/100047592234.html,http://img11.360buyimg.com/n1/jfs/t1/238969/32/2156/115816/6595374eF0b258271/112f5e5bde633ea3.jpg,64052,9267105.01,6.80,3.5元+
2023Q4,tmall,纸尿裤,617384484447,13067,BBC,皇室,量贩装babycare纸尿裤皇室狮子王国尺码任选超薄透气婴儿尿不湿,https://detail.tmall.com/item.htm?id=617384484447,//img.alicdn.com/imgextra/i1/6000000003690/O1CN01mFszgG1d84OTr4tMc_!!6000000003690-0-sm.jpg,40682,9212504.10,2.45,2-2.5元
