时间,平台,子品类,tb_item_id,品牌名,系列,名称,链接,图片,销量,销售额,片单价,价位段,片单价-人工,价格段-人工
2023Q3,dy,纸尿裤,'3518507360849140648,艾叶草,艾心果,艾叶草艾心果婴儿纸尿裤弱酸超薄透气拉拉裤新生儿尿不湿纸尿裤,https://haohuo.jinritemai.com/views/product/detail?id=3518507360849140648,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/rBFhrqPW_m_18be74cff8f6c14a7963bc5cefabf10f_sx_550177_www800-800,382691,15396203.45,0.96,1元以下,,
2023Q3,tmall,纸尿裤,625433941440,Huggies/好奇,小桃裤/铂金装,【臻选】好奇铂金装婴儿纸尿裤L100超薄透气尿不湿小桃裤,https://detail.tmall.com/item.htm?id=625433941440,//img.alicdn.com/imgextra/i3/685092642/O1CN01LSuJUO1VO5GS0SGAw_!!2-item_pic.png,64921,14381654.92,1.34,1-2元,,
2023Q3,tmall,纸尿裤,617906836695,婴芽,婴芽系列,婴芽超薄透气纸尿裤l码婴儿夏季拉拉裤xl男女宝宝专用s尿不湿xxl,https://detail.tmall.com/item.htm?id=617906836695,//img.alicdn.com/imgextra/i4/2206931663091/O1CN01piSbDn1Yhj7YehT1Z_!!2206931663091.jpg,220494,13534590.80,1.26,1-2元,,
2023Q3,jd,拉拉裤,100003198451,Huggies/好奇,金装,好奇（Huggies）金装成长裤XL96片(12-17kg)加大号婴儿尿不湿超薄柔软透气,https://item.jd.com/100003198451.html,http://img11.360buyimg.com/n1/jfs/t1/198685/6/35295/102728/6507e70dF93f698d7/d103dfe07ca50103.jpg,115463,13188837.16,1.20,1-2元,,
2023Q3,tmall,拉拉裤,633835501092,帮宝适,清新帮,【加量装】帮宝适清新帮拉拉裤L/XL/XXL/XXXL宝宝超薄裤型纸尿裤,https://detail.tmall.com/item.htm?id=633835501092,//img.alicdn.com/imgextra/i1/6000000000022/O1CN01ktMv6H1C27arUpUkh_!!6000000000022-0-sm.jpg,80934,12845328.80,1.44,1-2元,,
2023Q3,jd,拉拉裤,100016961342,帮宝适,清新帮,帮宝适清新帮拉拉裤XL84片(12-17kg)尿不湿尿裤成长裤 超薄透气 干爽,https://item.jd.com/100016961342.html,http://img11.360buyimg.com/n1/jfs/t1/179307/33/37152/122951/6516d9b4F7df53004/b6e12b9861684d81.jpg,68383,11847936.47,1.44,1-2元,,
2023Q3,dy,拉拉裤,'3485678842620847966,佳婴,氧气森林,好物推荐佳婴氧气森林纸尿裤薄柔透气便宜拉拉裤魔力吸超值尿不湿,https://haohuo.jinritemai.com/views/product/detail?id=3485678842620847966,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/voloYCXQ_m_41f7d25e705abff7fc1839e0dac152ab_sx_284377_www800-800,185780,11833134.26,1元以下,1元以下,,
2023Q3,jd,拉拉裤,100024157756,Huggies/好奇,柯基裤/软萌星人,好奇（Huggies）软萌星人柯基裤成长裤XXL26片(15kg以上)加大号婴儿尿不湿拉拉裤,https://item.jd.com/100024157756.html,http://img11.360buyimg.com/n1/jfs/t1/221477/14/36725/86086/651ae29fF2eaf9238/c7675a293f56ebbb.jpg,181480,11672816.90,2.15,2-2.5元,,
2023Q3,tmall,纸尿裤,597960312505,帮宝适,清新帮,【马上加购】帮宝适超薄干爽清新帮新生婴儿初生纸尿裤NB/S尿裤,https://detail.tmall.com/item.htm?id=597960312505,//img.alicdn.com/imgextra/i2/749385259/O1CN01fPnTtc1oifnC9Hjhm_!!0-item_pic.jpg,128869,10511226.68,1.44,1-2元,,
2023Q3,jd,拉拉裤,7202389,帮宝适,绿帮（超薄干爽）,帮宝适绿帮拉拉裤XL136(12-17kg)尿不湿尿裤成长裤超薄透气,https://item.jd.com/7202389.html,http://img11.360buyimg.com/n1/jfs/t1/94539/15/43550/130348/6516dc1fF0c138484/1ddd6ead04840670.jpg,61374,10444702.94,1.27,1-2元,,
2023Q3,tmall,拉拉裤,582453985524,Huggies/好奇,小森林,好奇小森林心钻装拉拉裤L40/XL32/XXL30/XXXL28超薄透气尿不湿,https://detail.tmall.com/item.htm?id=582453985524,//img.alicdn.com/imgextra/i4/6000000000611/O1CN01kawUa41GNssZxiznr_!!6000000000611-0-sm.jpg,38658,10258429.12,2.70,2.5-3.5元,,
2023Q3,tmall,拉拉裤,634491184225,宜婴,梦想家,宜婴梦想家拉拉裤M-XXXXL超薄柔软宝宝学步裤干爽透气婴儿尿不湿,https://detail.tmall.com/item.htm?id=634491184225,//img.alicdn.com/imgextra/i1/839648224/O1CN01M8DmlX2Ace7eNrZEU_!!0-item_pic.jpg,234354,9898664.80,0.93,1元以下,,
2023Q3,jd,拉拉裤,4508081,帮宝适,一级帮,帮宝适一级帮拉拉裤®XL64片(12-17kg)尿不湿尿裤成长裤超薄透气 散热,https://item.jd.com/4508081.html,http://img11.360buyimg.com/n1/jfs/t1/176650/29/35444/141253/6521194cFa23aa577/ecec422e8e7e5f0b.jpg,59006,9871808.70,1.80,1-2元,,
2023Q3,tmall,拉拉裤,613267456701,Huggies/好奇,皇家御裤,好奇皇家麒麟裤拉拉裤L38/XL30/XXL28/XXXL24,https://detail.tmall.com/item.htm?id=613267456701,//img.alicdn.com/imgextra/i2/6000000001578/O1CN019ZiD5E1NWlsGPyy30_!!6000000001578-0-sm.jpg,40171,9836246.70,1.80,1-2元,,
2023Q3,tmall,拉拉裤,668178660380,Dress/吉氏,倾柔系列,吉氏倾柔拉拉裤皇室弱酸男女尿不湿尿片超薄透气新生婴儿纸尿裤,https://detail.tmall.com/item.htm?id=668178660380,//img.alicdn.com/imgextra/i3/899591670/O1CN01VRdrQc1OCuJ5eHg8N_!!0-item_pic.jpg,109298,9712132.90,1.57,1-2元,,
2023Q3,tmall,拉拉裤,654791983793,BOBDOG/巴布豆,菠萝裤,【老爸抽检】天猫官方自营巴布豆新菠萝拉拉裤婴儿尿不湿XXL34片,https://detail.tmall.com/item.htm?id=654791983793,//img.alicdn.com/imgextra/i4/6000000002100/O1CN01z2XUUS1RNqcaCNjhR_!!6000000002100-0-sm.jpg,109383,9699561.00,1.12,1-2元,,
2023Q3,tmall,纸尿裤,625433505452,Huggies/好奇,小桃裤/铂金装,【臻选】好奇铂金装婴儿纸尿裤M120超薄透气尿不湿小桃裤,https://detail.tmall.com/item.htm?id=625433505452,//img.alicdn.com/imgextra/i2/685092642/O1CN018JlwOB1VO5GKqNbr2_!!2-item_pic.png,41587,9686981.56,1.34,1-2元,,
2023Q3,dy,拉拉裤,'3482085810386379885,宜婴,梦想家,【直播专享】宜婴梦想家纸尿裤婴儿拉拉裤男女宝宝超薄透气尿不湿,https://haohuo.jinritemai.com/views/product/detail?id=3482085810386379885,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/GJcUbUcR_m_53649832ecd5b3f9611cebe760b07af2_sx_583496_www800-800,121777,9620371.74,0.93,1元以下,,
2023Q3,jd,拉拉裤,100014635147,BBC,皇室,babycare皇室狮子王国皇冠LALA裤试用装XL码-4片（12-17kg）婴儿尿不湿,https://item.jd.com/100014635147.html,http://img11.360buyimg.com/n1/jfs/t1/115847/37/40376/117051/64b6a7a2Fca9b5065/c61da5bd47a6ef84.jpg,1081719,9572749.37,2.45,2-2.5元,,
2023Q3,dy,拉拉裤,'3597331692060294612,Huggies/好奇,小桃裤/铂金装,好奇Huggies铂金装小桃裤透气超薄柔软亲肤绵柔纸尿裤拉拉裤*3包,https://haohuo.jinritemai.com/views/product/detail?id=3597331692060294612,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/pUMQIGaB_m_f6eae18e6d84075e525a7a461a5fcb09_sx_300258_www800-800,54423,9462528.00,1.34,1-2元,,
2023Q3,jd,纸尿裤,1103187,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤S96片(4-8kg)新生儿小号婴儿尿不湿小桃裤裸感超薄,https://item.jd.com/1103187.html,http://img11.360buyimg.com/n1/jfs/t1/199057/19/35314/95732/65159f77Fe30bd431/31793ff7247388f3.jpg,112039,9460752.21,1.34,1-2元,,
2023Q3,jd,拉拉裤,7293773,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装成长裤XL96片(12-17kg)加大号婴儿尿不湿小桃裤超薄透气,https://item.jd.com/7293773.html,http://img11.360buyimg.com/n1/jfs/t1/219015/4/36353/89273/651c4a9aF26ec98ad/44766ace96671c3a.jpg,65237,9260861.80,1.34,1-2元,,
2023Q3,jd,拉拉裤,100009693199,帮宝适,清新帮,帮宝适清新帮拉拉裤XXL68片(15kg以上)尿不湿尿裤成长裤 超薄透气 干爽,https://item.jd.com/100009693199.html,http://img11.360buyimg.com/n1/jfs/t1/106764/28/45279/126822/6516d980Fe53c3cf0/9bad5857e84d1ad8.jpg,53727,9191582.14,1.44,1-2元,,
2023Q3,jd,纸尿裤,100014427017,帮宝适,清新帮,帮宝适超薄干爽清新帮纸尿裤M54片(6-11kg)尿不湿 超薄透气,https://item.jd.com/100014427017.html,http://img11.360buyimg.com/n1/jfs/t1/8659/19/22929/120339/6516d9a3Fe9eb4077/f8c5cdcacb0cad5e.jpg,109893,9159741.17,1.44,1-2元,,
2023Q3,tmall,拉拉裤,634262168401,布班迪,甄芯薄婴,布班迪拉拉裤夏天纸尿裤婴儿超薄透气男女宝宝专用新生夏季尿不湿,https://detail.tmall.com/item.htm?id=634262168401,//img.alicdn.com/imgextra/i4/2210059030410/O1CN01zXiarv1EtpGfTa1Kh_!!0-item_pic.jpg,149380,9146655.01,1.37,1-2元,,
2023Q3,dy,拉拉裤,'3519787619850523358,BBC,熊猫裤,【官方囤货】单包79！babycare熊猫呼呼纸尿裤透气干爽新生儿超薄,https://haohuo.jinritemai.com/views/product/detail?id=3519787619850523358,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/pxXpFri_m_e7e96b0c491f8636d3f77a6c6299422f_sx_522449_www1200-1200,114722,9063038.00,2.93,2.5-3.5元,,
2023Q3,tmall,纸尿裤,613453019327,BBC,皇室,babycare皇室狮子王国纸尿裤超薄透气婴儿宝宝尿不湿Mini装任选,https://detail.tmall.com/item.htm?id=613453019327,//img.alicdn.com/imgextra/i4/2275046294/O1CN01dYgB001wMhifjlZbM_!!2275046294.jpg,195466,9035752.74,2.45,2-2.5元,,
2023Q3,jd,拉拉裤,100007023725,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装成长裤XXL74片(15kg以上)小桃裤加加大号婴儿尿不湿超薄,https://item.jd.com/100007023725.html,http://img11.360buyimg.com/n1/jfs/t1/95027/10/39415/88479/6518eb7fFca2ecbd6/39501d9932bb8a77.jpg,61978,8971781.24,1.34,1-2元,,
2023Q3,dy,拉拉裤,'3516124085753105289,帮宝适,清新帮,【巨划算】清新帮帮宝适清新帮纸尿裤拉拉裤新生儿超薄干爽透气能吸,https://haohuo.jinritemai.com/views/product/detail?id=3516124085753105289,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/NkzWzZD_m_0864013a8c6a39a9e37acb56f3845ce4_sx_313549_www1080-1080,87413,8822687.00,1.44,1-2元,,
2023Q3,tmall,拉拉裤,638471559620,帮宝适,黑金帮,【全新升级】帮宝适黑金帮拉拉裤L/XL/XXL/XXXL透气裤型纸尿裤,https://detail.tmall.com/item.htm?id=638471559620,//img.alicdn.com/imgextra/i4/6000000002705/O1CN01ZpsGi81VqwElr0HCR_!!6000000002705-0-sm.jpg,43825,8676361.30,3.09,2.5-3.5元,,
2023Q3,jd,拉拉裤,100013975744,BBC,Air Pro,babycare  Air pro夏日超薄拉拉裤透气大号婴儿尿不湿成长裤XXL28(>15kg),https://item.jd.com/100013975744.html,http://img11.360buyimg.com/n1/jfs/t1/185569/22/38560/93917/650c0891F7022c011/bb872eee65c77242.jpg,104297,8536340.88,2.08,2-2.5元,,
2023Q3,tmall,纸尿裤,672830995328,帮宝适,清新帮,【马上加购】帮宝适超薄干爽清新帮纸尿裤M54/L46/XL38/XXL32尿裤,https://detail.tmall.com/item.htm?id=672830995328,//img.alicdn.com/imgextra/i3/749385259/O1CN01NtGOAm1oifnA2DRU6_!!0-item_pic.jpg,90999,8475910.32,1.44,1-2元,,
2023Q3,tmall,拉拉裤,635175747542,帮宝适,清新帮,帮宝适清新帮拉拉裤L104/XL84/XXL68/XXXL64男女宝宝尿裤拍1得2包,https://detail.tmall.com/item.htm?id=635175747542,//img.alicdn.com/imgextra/i3/749385259/O1CN01SXhsl41oifnC9LdBW_!!0-item_pic.jpg,46570,8447449.95,1.44,1-2元,,
2023Q3,jd,拉拉裤,4508093,帮宝适,一级帮,帮宝适一级帮拉拉裤®XXL50+6片(15kg以上)尿裤尿不湿 超薄透气 散热,https://item.jd.com/4508093.html,http://img11.360buyimg.com/n1/jfs/t1/181812/30/36883/133058/65211953Ffca93a48/f7c85b7af8ea93a7.jpg,50524,8432123.21,1.80,1-2元,,
2023Q3,jd,拉拉裤,100013975746,BBC,Air Pro,babycare Air pro夏日超薄拉拉裤透气婴儿尿不湿成长裤XL30+2片(12-17kg),https://item.jd.com/100013975746.html,http://img11.360buyimg.com/n1/jfs/t1/165882/15/41983/89329/650c0873Fe3aaac21/32068448a16f67d8.jpg,100724,8220276.44,2.08,2-2.5元,,
2023Q3,tmall,纸尿裤,655189658803,Suitsky/舒比奇,维E鲜润,舒比奇维E敏感肌纸尿裤L码NBSMXL新生婴儿尿不湿超薄透气拉拉裤,https://detail.tmall.com/item.htm?id=655189658803,//img.alicdn.com/imgextra/i1/1577734060/O1CN01HdDEKR1frWuLJTDyc_!!1577734060.jpg,128611,8206867.62,1.44,1-2元,,
2023Q3,jd,纸尿裤,100000717691,BBC,皇室,babycare皇室狮子王国弱酸纸尿裤NB68片(<5kg)新生儿小号尿不湿弱酸亲肤,https://item.jd.com/100000717691.html,http://img11.360buyimg.com/n1/jfs/t1/132581/30/36927/92986/6510edfaF348e16bf/50cb17d477e7a8fd.jpg,86814,7982107.39,2.45,2-2.5元,,
2023Q3,jd,纸尿裤,100006768650,帮宝适,清新帮,帮宝适清新帮纸尿裤NB76片(≤5kg)尿裤尿不湿新生儿 婴儿超薄透气干爽,https://item.jd.com/100006768650.html,http://img11.360buyimg.com/n1/jfs/t1/90057/32/37421/118583/6516d963F02497347/4a2a4c245b15c598.jpg,122693,7975779.93,1.44,1-2元,,
2023Q3,tmall,纸尿裤,544856554057,Huggies/好奇,小桃裤/铂金装,好奇铂金装纸尿裤S96/M92/L76/XL64成长裤XL64/XXL50超薄小桃裤,https://detail.tmall.com/item.htm?id=544856554057,//img.alicdn.com/imgextra/i2/6000000007320/O1CN01zcuL9l23wc58N0oNn_!!6000000007320-0-sm.jpg,81830,7895708.40,1.34,1-2元,,
2023Q3,tmall,拉拉裤,615039521696,Huggies/好奇,皇家御裤,好奇皇家御裤日夜用拉拉裤L/XL/XXL/XXXL尿不湿弱酸纸尿裤麒麟裤,https://detail.tmall.com/item.htm?id=615039521696,//img.alicdn.com/imgextra/i4/685092642/O1CN01HbDXwI1VO5HsyjZX0_!!685092642.jpg,61498,7628340.29,1.80,1-2元,,
2023Q3,tmall,纸尿裤,575341251726,BBC,皇室,babycare皇室狮子王国纸尿裤新生儿婴儿宝宝超薄透气尿不湿4包,https://detail.tmall.com/item.htm?id=575341251726,//img.alicdn.com/imgextra/i3/2275046294/O1CN01rljgHh1wMhikrnAmw_!!0-item_pic.jpg,17327,7526223.10,2.45,2-2.5元,,
2023Q3,tmall,拉拉裤,613613136430,Huggies/好奇,小桃裤/铂金装,【百亿补贴】好奇铂金装婴儿拉拉裤L168超薄透气男女宝宝尿不湿,https://detail.tmall.com/item.htm?id=613613136430,//img.alicdn.com/imgextra/i1/685092642/O1CN01ckV0TW1VO5Du6YNzh_!!0-item_pic.jpg,17370,7407280.54,1.34,1-2元,,
2023Q3,jd,纸尿裤,100000827286,BBC,皇室,babycare皇室狮子王国弱酸纸尿裤S58片(4-8kg)新生儿小号尿不湿弱酸亲肤,https://item.jd.com/100000827286.html,http://img11.360buyimg.com/n1/jfs/t1/221638/25/37182/102482/65179da9F5e79ad99/eb428926135dbb01.jpg,75254,7350334.79,2.45,2-2.5元,,
2023Q3,tmall,纸尿裤,669134910389,帮宝适,清新帮,帮宝适清新帮纸尿裤M/L/XL/XXL宝宝超薄透气尿不湿非拉拉裤夏季,https://detail.tmall.com/item.htm?id=669134910389,//img.alicdn.com/imgextra/i1/725677994/O1CN01Bq5FU328vJ1oUOvLh_!!0-item_pic.jpg,68270,7311582.70,1.44,1-2元,,
2023Q3,jd,拉拉裤,100011084155,BBC,Air Pro,babycare  Air pro 夏日极薄日用 弱酸拉拉裤 超薄透气XXXL24（＞17kg）,https://item.jd.com/100011084155.html,http://img11.360buyimg.com/n1/jfs/t1/22210/10/20314/94697/650c08b2F17a9fbd4/78bfceb29c29a3f4.jpg,85219,7275266.25,2.08,2-2.5元,,
2023Q3,jd,纸尿裤,351200,Huggies/好奇,金装,好奇（Huggies）金装纸尿裤M162片(6-11kg)中号婴儿尿不湿超薄柔软超大吸力透气,https://item.jd.com/351200.html,http://img11.360buyimg.com/n1/jfs/t1/220880/39/35894/79050/651ae635F722ac09d/c0c3433ec223ee44.jpg,51557,7250274.81,1.20,1-2元,,
2023Q3,tmall,纸尿裤,684841010120,Huggies/好奇,小桃裤/铂金装,【百亿补贴】好奇铂金装婴儿纸尿裤XL80超薄透气尿不湿小桃裤,https://detail.tmall.com/item.htm?id=684841010120,//img.alicdn.com/imgextra/i2/685092642/O1CN016iQxtu1VO5Er3JgRN_!!0-item_pic.jpg,30326,7202744.62,1.34,1-2元,,
2023Q3,tmall,纸尿裤,679554108670,帮宝适,一级帮,【马上加购】帮宝适一级帮纸尿裤M/L/XL尿不湿透气尿裤拍1得2包,https://detail.tmall.com/item.htm?id=679554108670,//img.alicdn.com/imgextra/i2/749385259/O1CN01HBAvuX1oifn6zGoPK_!!0-item_pic.jpg,41954,7192055.10,1.80,1-2元,,
2023Q3,jd,纸尿裤,4482954,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤M144片(6-11kg)中号婴儿尿不湿小桃裤裸感超薄透气,https://item.jd.com/4482954.html,http://img11.360buyimg.com/n1/jfs/t1/10000/38/22715/92048/65159e78Fec3dd15e/8be556b63feed02d.jpg,50209,7178071.05,1.34,1-2元,,
2023Q3,tmall,拉拉裤,669135782826,帮宝适,清新帮,帮宝适清新帮拉拉裤M/L/XL/XXL/XXXL宝宝超薄透气裤型纸尿裤夏季,https://detail.tmall.com/item.htm?id=669135782826,//img.alicdn.com/imgextra/i3/6000000008154/O1CN01R3fcv42A6aP6E8KxQ_!!6000000008154-0-sm.jpg,60550,7126233.50,1.44,1-2元,,
2023Q3,tmall,纸尿裤,617384484447,BBC,皇室,量贩装babycare纸尿裤皇室狮子王国尺码任选超薄透气婴儿尿不湿,https://detail.tmall.com/item.htm?id=617384484447,//img.alicdn.com/imgextra/i4/6000000006373/O1CN01X3Ou7E1wwt0So4uM8_!!6000000006373-0-sm.jpg,24721,7021739.62,2.45,2-2.5元,,
2023Q3,jd,纸尿裤,100026779846,帮宝适,清新帮,帮宝适清新帮纸尿裤L46片(9-14kg)尿裤尿不湿 超薄透气 干爽,https://item.jd.com/100026779846.html,http://img11.360buyimg.com/n1/jfs/t1/123626/6/40619/120825/6516da1dF1b8ebc02/ea5c497922806632.jpg,91941,6926948.37,1.44,1-2元,,
2023Q3,dy,纸尿裤,'3501083460121007122,Huggies/好奇,小桃裤/铂金装,【官方正品囤货】好奇铂金装超薄透气小桃裤纸尿裤成长裤NB-XXXL,https://haohuo.jinritemai.com/views/product/detail?id=3501083460121007122,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/pUMQIGaB_m_5435a74e9cf5503a2c026c5f047d0d95_sx_176996_www800-800,68565,6904965.75,1.34,1-2元,,
2023Q3,dy,拉拉裤,'3509050117615415981,凯儿得乐,比得兔,【官方】凯儿得乐比得兔新生儿超薄透气夏日舒爽纸尿裤拉拉裤尿不湿,https://haohuo.jinritemai.com/views/product/detail?id=3509050117615415981,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/fAvTfEkH_m_c95d390d654cb92204c950a696f68116_sx_94123_www800-800,69519,6882359.11,1.17,1-2元,,
2023Q3,dy,拉拉裤,'3608835262798561260,爽然,天鹅裤,【直播专享】爽然天鹅纸尿裤薄款婴幼儿拉拉裤超薄透气男女宝尿不湿,https://haohuo.jinritemai.com/views/product/detail?id=3608835262798561260,https://p6-aio.ecombdimg.com/obj/ecom-shop-material/mHZFMYBe_m_8dd99af001f47fe67678689a8e225f42_sx_739620_www800-800,118966,6872140.50,0.91,1元以下,,
2023Q3,tmall,拉拉裤,577755404525,BBC,皇室,【最后2天】babycare皇室狮子王国拉拉裤皇冠LALA裤宝宝尿不湿*4,https://detail.tmall.com/item.htm?id=577755404525,//img.alicdn.com/imgextra/i4/2275046294/O1CN015ABHnR1wMhikrnAmz_!!0-item_pic.jpg,15909,6627618.95,2.45,2-2.5元,,
2023Q3,jd,纸尿裤,1271289,Huggies/好奇,小桃裤/铂金装,好奇（Huggies）铂金装纸尿裤NB84片(5kg以下)新生儿小号婴儿尿不湿小桃裤超薄,https://item.jd.com/1271289.html,http://img11.360buyimg.com/n1/jfs/t1/216468/33/35233/87138/6516d188F4909d0a9/af44870465b3b633.jpg,103640,6567322.16,1.34,1-2元,,
2023Q3,tmall,纸尿裤,555079177064,帮宝适,一级帮,【马上加购】帮宝适一级帮新生婴儿纸尿裤NB84/S76超薄透气尿裤,https://detail.tmall.com/item.htm?id=555079177064,//img.alicdn.com/imgextra/i3/749385259/O1CN012BmCQl1oifn6zX7pT_!!0-item_pic.jpg,55422,6446159.41,1.80,1-2元,,
2023Q3,jd,拉拉裤,6170458,BOBDOG/巴布豆,小波浪,巴布豆（BOBDOG）小波浪薄柔亲肤学步裤XXL108片箱装(15KG以上)加大码婴儿尿不湿 ,https://item.jd.com/6170458.html,http://img11.360buyimg.com/n1/jfs/t1/193599/13/38925/123712/650cf6e8F2d39dfda/e8821586beaf3c09.jpg,54477,6435094.60,0.46,1元以下,,
2023Q3,dy,纸尿裤,'3508113303643806243,佳婴,氧气森林,【好物推荐】佳婴氧气森林超薄柔软干爽透气婴儿纸尿裤学步拉拉裤,https://haohuo.jinritemai.com/views/product/detail?id=3508113303643806243,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/zasqTfLV_m_0a12f280838d5e0110786069b9e63894_sx_303022_www800-800,101449,6384798.38,1元以下,1元以下,,
2023Q3,tmall,纸尿裤,638520287310,帮宝适,黑金帮,【全新升级】帮宝适黑金帮纸尿裤M/L/XL/XXL蚕丝超薄透气非拉拉裤,https://detail.tmall.com/item.htm?id=638520287310,//img.alicdn.com/imgextra/i3/725677994/O1CN01hFwPJF28vJ1tPVfjm_!!0-item_pic.jpg,36214,6378889.00,3.09,2.5-3.5元,,
2023Q3,jd,拉拉裤,100014968100,Huggies/好奇,金装,好奇（Huggies）金装成长裤XXL74(15kg以上)加加大号婴儿尿不湿超薄拉拉裤,https://item.jd.com/100014968100.html,http://img11.360buyimg.com/n1/jfs/t1/180570/7/39133/88698/651c4cdfFfe6f5aed/cc2730cdddf5c775.jpg,57072,6285871.15,1.20,1-2元,,
2023Q3,jd,拉拉裤,100019424298,BBC,木法沙,babycare 皇室木法沙的王国拉拉裤尿不湿成长裤新升级箱装XXL56片(≥15kg),https://item.jd.com/100019424298.html,http://img11.360buyimg.com/n1/jfs/t1/107094/6/46328/85018/65179d50F8ecb36ec/71a3bd34737daaa0.jpg,32564,6278940.86,2.64,2.5-3.5元,,
