平台,品牌,贸易形式,人群,药保属性,剂型,分类,月,sales_value,sales_volume
京东,BY－HEALTH/汤臣倍健,国内,通用,保健品,片剂,钙+维生素+矿物质,2023-12-01,3913249.79,34882
京东,BY－HEALTH/汤臣倍健,国内,通用,保健品,胶囊,钙+维生素,2023-12-01,4553275.67,33299
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,液体,钙+维生素,2023-12-01,7752.0,34
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,片剂,单纯钙制剂,2023-12-01,36292.14,790
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,片剂,钙+其它,2023-12-01,196834.3,1458
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,片剂,钙+矿物质,2023-12-01,162374.59,2519
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,片剂,钙+维生素,2023-12-01,111070.51,1498
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,97625.86,1406
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,胶囊,钙+矿物质,2023-12-01,6496.0,14
京东,BY－HEALTH/汤臣倍健,国内,通用,健康食品,胶囊,钙+维生素,2023-12-01,891199.94,5237
京东,BY－HEALTH/汤臣倍健,海外,老年人,保健品,片剂,钙+其它,2023-12-01,5285.83,17
京东,BY－HEALTH/汤臣倍健,海外,老年人,健康食品,液体,钙+其它,2023-12-01,209.1,1
京东,BY－HEALTH/汤臣倍健,海外,老年人,健康食品,片剂,钙+其它,2023-12-01,13919.44,59
京东,BY－HEALTH/汤臣倍健,海外,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,82811.37,359
京东,Caltrate/钙尔奇,国内,儿童,OTC,片剂,钙+维生素,2023-12-01,12594.92,166
京东,Caltrate/钙尔奇,国内,儿童,保健品,片剂,钙+矿物质,2023-12-01,770011.1,11248
京东,Caltrate/钙尔奇,国内,儿童,保健品,片剂,钙+维生素+矿物质,2023-12-01,1464686.07,16989
京东,Caltrate/钙尔奇,国内,儿童,健康食品,片剂,单纯钙制剂,2023-12-01,8426.24,96
京东,Caltrate/钙尔奇,国内,儿童,健康食品,片剂,钙+矿物质,2023-12-01,67522.5,1028
京东,Caltrate/钙尔奇,国内,儿童,健康食品,片剂,钙+维生素,2023-12-01,21755.74,267
京东,Caltrate/钙尔奇,国内,儿童,健康食品,片剂,钙+维生素+矿物质,2023-12-01,39461.74,478
京东,Caltrate/钙尔奇,国内,儿童,健康食品,粉剂,钙+维生素+矿物质,2023-12-01,30303.74,74
京东,Caltrate/钙尔奇,国内,儿童,健康食品,胶囊,钙+维生素,2023-12-01,34229.82,476
京东,Caltrate/钙尔奇,国内,婴幼儿,保健品,粉剂,钙+维生素+矿物质,2023-12-01,30559.0,146
京东,Caltrate/钙尔奇,国内,孕妇,OTC,片剂,钙+维生素,2023-12-01,318760.2,3787
京东,Caltrate/钙尔奇,国内,孕妇,保健品,片剂,钙+维生素,2023-12-01,2715372.83,21976
京东,Caltrate/钙尔奇,国内,孕妇,健康食品,液体,钙+维生素,2023-12-01,2112.0,24
京东,Caltrate/钙尔奇,国内,孕妇,健康食品,片剂,单纯钙制剂,2023-12-01,3112.0,8
京东,Caltrate/钙尔奇,国内,孕妇,健康食品,片剂,钙+维生素,2023-12-01,129124.66,1168
京东,Caltrate/钙尔奇,国内,孕妇,健康食品,片剂,钙+维生素+矿物质,2023-12-01,22467.6,171
京东,Caltrate/钙尔奇,国内,老年人,OTC,片剂,钙+维生素,2023-12-01,9871.0,115
京东,Caltrate/钙尔奇,国内,老年人,OTC,片剂,钙+维生素+矿物质,2023-12-01,1453188.7,9948
京东,Caltrate/钙尔奇,国内,老年人,保健品,片剂,钙+其它,2023-12-01,702166.24,3899
京东,Caltrate/钙尔奇,国内,老年人,保健品,片剂,钙+维生素+矿物质,2023-12-01,1859994.4,14395
京东,Caltrate/钙尔奇,国内,老年人,健康食品,液体,钙+维生素,2023-12-01,18679.0,106
京东,Caltrate/钙尔奇,国内,老年人,健康食品,片剂,单纯钙制剂,2023-12-01,62.1,1
京东,Caltrate/钙尔奇,国内,老年人,健康食品,片剂,钙+其它,2023-12-01,50494.39,364
京东,Caltrate/钙尔奇,国内,老年人,健康食品,片剂,钙+维生素,2023-12-01,54877.41,497
京东,Caltrate/钙尔奇,国内,老年人,健康食品,片剂,钙+维生素+矿物质,2023-12-01,237218.74,3062
京东,Caltrate/钙尔奇,国内,老年人,健康食品,粉剂,钙+维生素,2023-12-01,2451.0,43
京东,Caltrate/钙尔奇,国内,老年人,健康食品,胶囊,钙+维生素,2023-12-01,141300.41,2204
京东,Caltrate/钙尔奇,国内,通用,OTC,片剂,钙+维生素,2023-12-01,3679406.79,51600
京东,Caltrate/钙尔奇,国内,通用,OTC,粉剂,钙+维生素,2023-12-01,2150.0,32
京东,Caltrate/钙尔奇,国内,通用,保健品,片剂,钙+维生素+矿物质,2023-12-01,5480539.56,41052
京东,Caltrate/钙尔奇,国内,通用,保健品,胶囊,钙+维生素,2023-12-01,5467634.95,78439
京东,Caltrate/钙尔奇,国内,通用,健康食品,液体,单纯钙制剂,2023-12-01,7516.4,76
京东,Caltrate/钙尔奇,国内,通用,健康食品,片剂,单纯钙制剂,2023-12-01,137769.76,2437
京东,Caltrate/钙尔奇,国内,通用,健康食品,片剂,钙+其它,2023-12-01,15800.54,153
京东,Caltrate/钙尔奇,国内,通用,健康食品,片剂,钙+矿物质,2023-12-01,1120.0,28
京东,Caltrate/钙尔奇,国内,通用,健康食品,片剂,钙+维生素,2023-12-01,311849.49,5309
京东,Caltrate/钙尔奇,国内,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,30841.55,315
京东,Caltrate/钙尔奇,国内,通用,健康食品,粉剂,钙+维生素+矿物质,2023-12-01,845.4,28
京东,Caltrate/钙尔奇,国内,通用,健康食品,胶囊,钙+维生素,2023-12-01,97811.56000000001,1289
京东,Caltrate/钙尔奇,海外,儿童,健康食品,片剂,钙+维生素,2023-12-01,1617.0,15
京东,Caltrate/钙尔奇,海外,老年人,健康食品,片剂,钙+维生素,2023-12-01,37456.66,358
京东,Caltrate/钙尔奇,海外,老年人,健康食品,片剂,钙+维生素+矿物质,2023-12-01,5612.2,71
京东,Caltrate/钙尔奇,海外,通用,健康食品,片剂,钙+维生素,2023-12-01,763240.13,7437
京东,Caltrate/钙尔奇,海外,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,475231.38,4027
京东,Centrum/善存,国内,儿童,保健品,片剂,钙+维生素+矿物质,2023-12-01,1971698.5699999998,17566
京东,Centrum/善存,国内,儿童,健康食品,片剂,钙+维生素,2023-12-01,2634.1,35
京东,Centrum/善存,国内,儿童,健康食品,片剂,钙+维生素+矿物质,2023-12-01,30426.8,257
京东,Centrum/善存,国内,孕妇,保健品,片剂,钙+维生素,2023-12-01,5053.1,169
京东,Centrum/善存,国内,老年人,OTC,片剂,钙+维生素+矿物质,2023-12-01,382513.39999999997,2689
京东,Centrum/善存,国内,老年人,保健品,片剂,钙+维生素+矿物质,2023-12-01,2407681.2,19168
京东,Centrum/善存,国内,老年人,健康食品,片剂,钙+维生素,2023-12-01,3710.5,88
京东,Centrum/善存,国内,老年人,健康食品,片剂,钙+维生素+矿物质,2023-12-01,1232504.39,5551
京东,Centrum/善存,国内,通用,OTC,片剂,钙+维生素,2023-12-01,135.12,3
京东,Centrum/善存,国内,通用,OTC,片剂,钙+维生素+矿物质,2023-12-01,1103965.6,8228
京东,Centrum/善存,国内,通用,保健品,片剂,钙+维生素+矿物质,2023-12-01,6737943.66,52953
京东,Centrum/善存,国内,通用,健康食品,液体,钙+维生素,2023-12-01,4270.2,22
京东,Centrum/善存,国内,通用,健康食品,片剂,钙+维生素,2023-12-01,3166.12,34
京东,Centrum/善存,国内,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,30084.75,504
京东,Centrum/善存,海外,老年人,保健品,片剂,钙+维生素,2023-12-01,388.61,3
京东,Centrum/善存,海外,老年人,健康食品,液体,钙+维生素,2023-12-01,189.0,1
京东,Centrum/善存,海外,老年人,健康食品,片剂,钙+维生素,2023-12-01,3720.85,19
京东,Centrum/善存,海外,老年人,健康食品,片剂,钙+维生素+矿物质,2023-12-01,2761724.85,16878
京东,Centrum/善存,海外,通用,健康食品,片剂,钙+维生素,2023-12-01,288.0,1
京东,Centrum/善存,海外,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,1673762.87,11358
京东,Eric Favre,国内,儿童,健康食品,片剂,钙+维生素,2023-12-01,18158.03,59
京东,Eric Favre,海外,儿童,健康食品,液体,钙+维生素+矿物质,2023-12-01,520200.79,3547
京东,Eric Favre,海外,儿童,健康食品,片剂,钙+维生素,2023-12-01,174293.47,873
京东,Eric Favre,海外,婴幼儿,健康食品,液体,钙+矿物质,2023-12-01,4559.24,31
京东,Eric Favre,海外,婴幼儿,健康食品,液体,钙+维生素,2023-12-01,324820.78,2639
京东,Eric Favre,海外,婴幼儿,健康食品,液体,钙+维生素+矿物质,2023-12-01,6325.0,47
京东,Eric Favre,海外,婴幼儿,健康食品,胶囊,钙+维生素+矿物质,2023-12-01,4050.0,30
京东,Eric Favre,海外,通用,健康食品,片剂,钙+维生素,2023-12-01,4984.0,28
京东,INNE,国内,婴幼儿,健康食品,液体,钙+矿物质,2023-12-01,58154.15,197
京东,INNE,国内,婴幼儿,健康食品,液体,钙+维生素+矿物质,2023-12-01,30165.0,225
京东,INNE,国内,通用,健康食品,液体,钙+矿物质,2023-12-01,278.0,1
京东,INNE,海外,儿童,健康食品,液体,钙+矿物质,2023-12-01,133479.4,920
京东,INNE,海外,儿童,健康食品,液体,钙+维生素+矿物质,2023-12-01,970434.77,3901
京东,INNE,海外,儿童,健康食品,胶囊,钙+矿物质,2023-12-01,7392.0,66
京东,INNE,海外,婴幼儿,健康食品,液体,钙+矿物质,2023-12-01,228822.36,1138
京东,INNE,海外,婴幼儿,健康食品,液体,钙+维生素+矿物质,2023-12-01,16826177.23,94510
京东,INNE,海外,婴幼儿,健康食品,片剂,钙+维生素+矿物质,2023-12-01,23385.43,93
京东,INNE,海外,婴幼儿,健康食品,胶囊,钙+矿物质,2023-12-01,17758.6,140
京东,INNE,海外,通用,健康食品,液体,钙+矿物质,2023-12-01,132063.52,659
京东,INNE,海外,通用,健康食品,片剂,钙+矿物质,2023-12-01,23384.16,633
京东,INNE,海外,通用,健康食品,片剂,钙+维生素+矿物质,2023-12-01,23236.95,825
京东,MoveFree,国内,老年人,保健品,片剂,钙+其它,2023-12-01,196328.12,369
京东,MoveFree,国内,老年人,保健品,片剂,钙+维生素,2023-12-01,30861.6,210
京东,MoveFree,国内,老年人,保健品,胶囊,钙+维生素,2023-12-01,10878.0,42
京东,MoveFree,国内,老年人,健康食品,片剂,钙+其它,2023-12-01,848753.12,2308
京东,MoveFree,国内,老年人,健康食品,片剂,钙+维生素,2023-12-01,2377.14,15
京东,MoveFree,国内,通用,保健品,片剂,钙+其它,2023-12-01,110999.0,203
京东,MoveFree,国内,通用,健康食品,片剂,钙+其它,2023-12-01,312816.16,1430
京东,MoveFree,海外,老年人,保健品,片剂,钙+维生素,2023-12-01,110663.58,273
京东,MoveFree,海外,老年人,健康食品,液体,钙+维生素,2023-12-01,39056.0,114
京东,MoveFree,海外,老年人,健康食品,片剂,钙+维生素,2023-12-01,1701201.81,8926
京东,MoveFree,海外,通用,健康食品,片剂,钙+其它,2023-12-01,25928593.39,96718
京东,MoveFree,海外,通用,健康食品,片剂,钙+维生素,2023-12-01,395569.46,1521
京东,Others,国内,儿童,OTC,片剂,单纯钙制剂,2023-12-01,1402.94,164
京东,Others,国内,儿童,OTC,片剂,钙+矿物质,2023-12-01,3983.8,133
京东,Others,国内,儿童,OTC,片剂,钙+维生素,2023-12-01,4238.8,229
京东,Others,国内,儿童,OTC,粉剂,钙+维生素,2023-12-01,1020.0,12
京东,Others,国内,儿童,OTC,胶囊,钙+维生素,2023-12-01,12596.0,47
京东,Others,国内,儿童,保健品,液体,单纯钙制剂,2023-12-01,599367.12,3077
京东,Others,国内,儿童,保健品,液体,钙+矿物质,2023-12-01,4934.32,37
京东,Others,国内,儿童,保健品,片剂,单纯钙制剂,2023-12-01,191.0,3
京东,Others,国内,儿童,保健品,片剂,钙+矿物质,2023-12-01,584064.16,7956
京东,Others,国内,儿童,保健品,片剂,钙+维生素,2023-12-01,319567.11,7164
京东,Others,国内,儿童,保健品,片剂,钙+维生素+矿物质,2023-12-01,383767.69999999995,6507
京东,Others,国内,儿童,保健品,粉剂,钙+维生素+矿物质,2023-12-01,7448.0,38
京东,Others,国内,儿童,保健品,胶囊,钙+其它,2023-12-01,98543.53,352
京东,Others,国内,儿童,保健品,胶囊,钙+维生素+矿物质,2023-12-01,12933.27,63
京东,Others,国内,儿童,健康食品,液体,单纯钙制剂,2023-12-01,674772.8400000001,4319
京东,Others,国内,儿童,健康食品,液体,钙+其它,2023-12-01,283273.36,3084
京东,Others,国内,儿童,健康食品,液体,钙+矿物质,2023-12-01,1133534.06,15219
京东,Others,国内,儿童,健康食品,液体,钙+维生素,2023-12-01,53142.21,353
京东,Others,国内,儿童,健康食品,液体,钙+维生素+矿物质,2023-12-01,33304.51,183
京东,Others,国内,儿童,健康食品,片剂,单纯钙制剂,2023-12-01,2275114.6100000003,59505
京东,Others,国内,儿童,健康食品,片剂,钙+其它,2023-12-01,939628.0299999999,9154
京东,Others,国内,儿童,健康食品,片剂,钙+矿物质,2023-12-01,2008677.5,25049
京东,Others,国内,儿童,健康食品,片剂,钙+维生素,2023-12-01,316315.03,5507
京东,Others,国内,儿童,健康食品,片剂,钙+维生素+矿物质,2023-12-01,1691819.63,20540
京东,Others,国内,儿童,健康食品,粉剂,单纯钙制剂,2023-12-01,24887.86,260
京东,Others,国内,儿童,健康食品,粉剂,钙+其它,2023-12-01,571468.0800000001,865
京东,Others,国内,儿童,健康食品,粉剂,钙+矿物质,2023-12-01,213974.29,1254
京东,Others,国内,儿童,健康食品,粉剂,钙+维生素,2023-12-01,229117.80000000002,1742
京东,Others,国内,儿童,健康食品,粉剂,钙+维生素+矿物质,2023-12-01,291244.24,240
京东,Others,国内,儿童,健康食品,胶囊,单纯钙制剂,2023-12-01,171175.68,2381
京东,Others,国内,儿童,健康食品,胶囊,钙+其它,2023-12-01,15939.2,117
京东,Others,国内,儿童,健康食品,胶囊,钙+矿物质,2023-12-01,379634.72,4645
京东,Others,国内,儿童,健康食品,胶囊,钙+维生素,2023-12-01,1655573.68,12403
京东,Others,国内,儿童,健康食品,胶囊,钙+维生素+矿物质,2023-12-01,101714.75,1758
京东,Others,国内,婴幼儿,OTC,液体,钙+矿物质,2023-12-01,91.2,2
京东,Others,国内,婴幼儿,保健品,液体,钙+矿物质,2023-12-01,305459.88999999996,2409
京东,Others,国内,婴幼儿,保健品,胶囊,钙+矿物质,2023-12-01,90119.98,884
京东,Others,国内,婴幼儿,保健品,胶囊,钙+维生素,2023-12-01,40983.79,555
京东,Others,国内,婴幼儿,健康食品,液体,单纯钙制剂,2023-12-01,433342.14999999997,2918
京东,Others,国内,婴幼儿,健康食品,液体,钙+其它,2023-12-01,60088.0,481
京东,Others,国内,婴幼儿,健康食品,液体,钙+矿物质,2023-12-01,124323.58,1271
京东,Others,国内,婴幼儿,健康食品,液体,钙+维生素,2023-12-01,338574.01,1627
京东,Others,国内,婴幼儿,健康食品,液体,钙+维生素+矿物质,2023-12-01,62647.29,491
京东,Others,国内,婴幼儿,健康食品,片剂,单纯钙制剂,2023-12-01,606400.06,31930
京东,Others,国内,婴幼儿,健康食品,片剂,钙+其它,2023-12-01,48710.600000000006,1728
京东,Others,国内,婴幼儿,健康食品,片剂,钙+矿物质,2023-12-01,403251.51,17401
京东,Others,国内,婴幼儿,健康食品,片剂,钙+维生素,2023-12-01,78859.11,3468
京东,Others,国内,婴幼儿,健康食品,片剂,钙+维生素+矿物质,2023-12-01,872579.9,5886
京东,Others,国内,婴幼儿,健康食品,粉剂,单纯钙制剂,2023-12-01,5158.08,48
京东,Others,国内,婴幼儿,健康食品,粉剂,钙+矿物质,2023-12-01,68338.68000000001,507
京东,Others,国内,婴幼儿,健康食品,粉剂,钙+维生素+矿物质,2023-12-01,253065.38,1704
京东,Others,国内,婴幼儿,健康食品,胶囊,单纯钙制剂,2023-12-01,157973.75,1369
京东,Others,国内,婴幼儿,健康食品,胶囊,钙+矿物质,2023-12-01,680049.6900000001,5834
京东,Others,国内,婴幼儿,健康食品,胶囊,钙+维生素,2023-12-01,975718.01,5982
京东,Others,国内,婴幼儿,健康食品,胶囊,钙+维生素+矿物质,2023-12-01,22555.2,524
京东,Others,国内,孕妇,OTC,片剂,单纯钙制剂,2023-12-01,171.84,4
京东,Others,国内,孕妇,OTC,片剂,钙+矿物质,2023-12-01,544.0,4
京东,Others,国内,孕妇,保健品,片剂,单纯钙制剂,2023-12-01,171265.1,3504
京东,Others,国内,孕妇,保健品,片剂,钙+其它,2023-12-01,210571.28,1126
京东,Others,国内,孕妇,保健品,片剂,钙+维生素,2023-12-01,733262.2000000001,6076
京东,Others,国内,孕妇,保健品,片剂,钙+维生素+矿物质,2023-12-01,1370268.83,3311
京东,Others,国内,孕妇,健康食品,液体,单纯钙制剂,2023-12-01,5433.8,20
京东,Others,国内,孕妇,健康食品,液体,钙+矿物质,2023-12-01,55082.91,222
京东,Others,国内,孕妇,健康食品,液体,钙+维生素,2023-12-01,32144.48,86
京东,Others,国内,孕妇,健康食品,液体,钙+维生素+矿物质,2023-12-01,3555.0,8
京东,Others,国内,孕妇,健康食品,片剂,单纯钙制剂,2023-12-01,239254.12,4339
京东,Others,国内,孕妇,健康食品,片剂,钙+其它,2023-12-01,499.0,1
京东,Others,国内,孕妇,健康食品,片剂,钙+矿物质,2023-12-01,11915.96,528
京东,Others,国内,孕妇,健康食品,片剂,钙+维生素,2023-12-01,217334.0,2632
京东,Others,国内,孕妇,健康食品,片剂,钙+维生素+矿物质,2023-12-01,247082.96,799
京东,Others,国内,孕妇,健康食品,粉剂,单纯钙制剂,2023-12-01,104110.5,1027
京东,Others,国内,孕妇,健康食品,粉剂,钙+矿物质,2023-12-01,768.32,14
京东,Others,国内,孕妇,健康食品,胶囊,单纯钙制剂,2023-12-01,7141.8,72
京东,Others,国内,孕妇,健康食品,胶囊,钙+其它,2023-12-01,35311.64,37
京东,Others,国内,孕妇,健康食品,胶囊,钙+矿物质,2023-12-01,24816.0,152
京东,Others,国内,孕妇,健康食品,胶囊,钙+维生素,2023-12-01,38586.5,231
京东,Others,国内,老年人,OTC,液体,钙+矿物质,2023-12-01,6886.34,118
京东,Others,国内,老年人,OTC,片剂,单纯钙制剂,2023-12-01,139988.89,3860
京东,Others,国内,老年人,OTC,片剂,钙+其它,2023-12-01,12755.06,217
京东,Others,国内,老年人,OTC,片剂,钙+维生素,2023-12-01,3410.92,72
京东,Others,国内,老年人,保健品,液体,钙+矿物质,2023-12-01,130.0,1
京东,Others,国内,老年人,保健品,片剂,单纯钙制剂,2023-12-01,18115.48,114
京东,Others,国内,老年人,保健品,片剂,钙+其它,2023-12-01,1805889.9,20213
京东,Others,国内,老年人,保健品,片剂,钙+矿物质,2023-12-01,26236.0,85
京东,Others,国内,老年人,保健品,片剂,钙+维生素,2023-12-01,587069.64,9393
京东,Others,国内,老年人,保健品,片剂,钙+维生素+矿物质,2023-12-01,157253.72999999998,1492
京东,Others,国内,老年人,保健品,粉剂,单纯钙制剂,2023-12-01,20414.16,126
京东,Others,国内,老年人,保健品,粉剂,钙+其它,2023-12-01,82658.37,534
京东,Others,国内,老年人,保健品,粉剂,钙+维生素+矿物质,2023-12-01,18810.0,38
京东,Others,国内,老年人,保健品,胶囊,钙+其它,2023-12-01,182990.71,1327
京东,Others,国内,老年人,保健品,胶囊,钙+维生素,2023-12-01,54598.490000000005,2298
京东,Others,国内,老年人,健康食品,液体,单纯钙制剂,2023-12-01,2238.0,26
京东,Others,国内,老年人,健康食品,液体,钙+其它,2023-12-01,9448.72,96
京东,Others,国内,老年人,健康食品,液体,钙+矿物质,2023-12-01,8399.28,145
京东,Others,国内,老年人,健康食品,液体,钙+维生素,2023-12-01,19849.64,379
京东,Others,国内,老年人,健康食品,液体,钙+维生素+矿物质,2023-12-01,168.0,1
京东,Others,国内,老年人,健康食品,片剂,单纯钙制剂,2023-12-01,511959.38,9589
京东,Others,国内,老年人,健康食品,片剂,钙+其它,2023-12-01,1003539.5,13191
京东,Others,国内,老年人,健康食品,片剂,钙+矿物质,2023-12-01,28644.510000000002,382
京东,Others,国内,老年人,健康食品,片剂,钙+维生素,2023-12-01,393373.73,7363
京东,Others,国内,老年人,健康食品,片剂,钙+维生素+矿物质,2023-12-01,74644.22,1393
京东,Others,国内,老年人,健康食品,粉剂,单纯钙制剂,2023-12-01,22437.36,183
京东,Others,国内,老年人,健康食品,胶囊,单纯钙制剂,2023-12-01,12130.0,345
京东,Others,国内,老年人,健康食品,胶囊,钙+其它,2023-12-01,181240.75,1833
京东,Others,国内,老年人,健康食品,胶囊,钙+维生素,2023-12-01,395399.92,4260
京东,Others,国内,老年人,健康食品,胶囊,钙+维生素+矿物质,2023-12-01,13953.34,105
京东,Others,国内,通用,OTC,液体,钙+矿物质,2023-12-01,235035.78999999998,14023
京东,Others,国内,通用,OTC,片剂,单纯钙制剂,2023-12-01,314777.62,17391
京东,Others,国内,通用,OTC,片剂,钙+其它,2023-12-01,53.0,1
京东,Others,国内,通用,OTC,片剂,钙+矿物质,2023-12-01,35068.759999999995,943
京东,Others,国内,通用,OTC,片剂,钙+维生素,2023-12-01,167861.84000000003,4995
京东,Others,国内,通用,OTC,片剂,钙+维生素+矿物质,2023-12-01,464174.5,6032
京东,Others,国内,通用,OTC,粉剂,单纯钙制剂,2023-12-01,452335.66,13106
京东,Others,国内,通用,OTC,胶囊,单纯钙制剂,2023-12-01,306146.45,3691
京东,Others,国内,通用,OTC,胶囊,钙+矿物质,2023-12-01,961743.08,8167
京东,Others,国内,通用,OTC,胶囊,钙+维生素,2023-12-01,3832.24,120
京东,Others,国内,通用,保健品,液体,钙+矿物质,2023-12-01,2960.0,20
京东,Others,国内,通用,保健品,片剂,单纯钙制剂,2023-12-01,9235.52,95
京东,Others,国内,通用,保健品,片剂,钙+其它,2023-12-01,13662.52,94
京东,Others,国内,通用,保健品,片剂,钙+矿物质,2023-12-01,526588.64,5380
京东,Others,国内,通用,保健品,片剂,钙+维生素,2023-12-01,1149436.42,20853
京东,Others,国内,通用,保健品,片剂,钙+维生素+矿物质,2023-12-01,256088.17,6170
京东,Others,国内,通用,保健品,粉剂,单纯钙制剂,2023-12-01,7424.0,58
京东,Others,国内,通用,保健品,胶囊,单纯钙制剂,2023-12-01,1272784.26,25021
京东,Others,国内,通用,保健品,胶囊,钙+其它,2023-12-01,1373.0,13
京东,Others,国内,通用,保健品,胶囊,钙+矿物质,2023-12-01,732.0,6
京东,Others,国内,通用,保健品,胶囊,钙+维生素,2023-12-01,2253980.59,56886
京东,Others,国内,通用,保健品,胶囊,钙+维生素+矿物质,2023-12-01,272982.73000000004,1900
